email,gender,birth_date,annual_income,spending_score,subscribed_to_newsletter,last_purchase_date,customer_type
breannabonilla@example.net,Female,1973-12-31,50391,29,False,2024-05-12 04:28:02.417332,Standard
christopherhughes@example.org,Male,1970-12-09,75536,3,True,2023-10-23 04:28:02.417332,Budget
patrick67@example.com,Male,1953-06-29,53519,58,True,2023-04-05 04:28:02.417332,Budget
wholt@example.net,Male,2004-03-15,67396,33,True,2023-10-03 04:28:02.417332,Budget
tracy90@example.org,Male,1988-06-24,51619,75,False,2025-01-23 04:28:02.417332,Standard
alicia72@example.com,Other,2007-08-19,79999,45,True,2024-09-02 04:28:02.417332,Standard
gmarsh@example.org,Male,1984-01-26,44824,69,True,2023-09-22 04:28:02.417332,Budget
susanhoward@example.org,Female,1997-05-15,45787,32,True,2024-03-16 04:28:02.417332,Standard
ballardjeffery@example.org,Male,1967-09-19,77867,82,True,2024-02-07 04:28:02.417332,Standard
zachary10@example.com,Female,2000-08-04,48325,84,True,2023-08-14 04:28:02.417332,Budget
cheyenneobrien@example.net,Female,2007-02-16,79016,52,False,2025-02-13 04:28:02.417332,Standard
qthomas@example.com,Male,1996-07-16,68377,64,False,2024-08-14 04:28:02.417332,Standard
rgibson@example.net,Other,2006-11-02,52680,40,False,2023-09-01 04:28:02.417332,Budget
cervanteskent@example.net,Female,1981-03-13,27800,92,False,2023-12-12 04:28:02.417332,Standard
mercerkevin@example.com,Other,2007-03-21,54710,13,True,2025-01-03 04:28:02.417332,Standard
morganmanuel@example.com,Female,1989-10-26,56524,90,False,2025-02-09 04:28:02.417332,Standard
tracy20@example.com,Female,2007-03-20,72508,80,False,2023-10-16 04:28:02.417332,Standard
jordandebbie@example.com,Other,1994-04-28,78826,89,False,2024-02-05 04:28:02.417332,Standard
jessica66@example.com,Male,1971-03-19,44725,74,True,2023-07-31 04:28:02.417332,Budget
bakertammy@example.org,Male,1985-12-04,67017,29,True,2024-01-12 04:28:02.417332,Standard
stephanieblack@example.com,Male,2001-08-22,66481,63,False,2024-11-22 04:28:02.417332,Standard
ddaniels@example.org,Male,1990-12-24,71101,84,False,2023-08-11 04:28:02.417332,Standard
harrischristopher@example.net,Male,1990-01-02,62480,26,True,2023-06-24 04:28:02.417332,Budget
batescourtney@example.org,Male,1985-01-07,25862,96,False,2024-03-24 04:28:02.417332,Standard
davidsosa@example.com,Female,2007-02-25,52668,59,False,2023-09-29 04:28:02.417332,Budget
ssmith@example.net,Male,1982-12-29,37664,49,True,2023-10-20 04:28:02.417332,Budget
robertowillis@example.com,Male,2007-05-11,51960,53,True,2024-12-18 04:28:02.417332,Standard
rwilkinson@example.com,Female,1998-07-29,69700,88,True,2024-03-11 04:28:02.417332,Standard
kingpatricia@example.com,Male,1996-05-19,59577,31,True,2023-06-14 04:28:02.417332,Budget
dustin75@example.org,Female,1983-09-30,72221,12,False,2024-05-01 04:28:02.417332,Standard
jayvega@example.com,Male,1990-06-19,60126,58,True,2024-12-06 04:28:02.417332,Standard
masongeorge@example.org,Other,2007-08-28,35525,36,False,2025-04-01 04:28:02.417332,Standard
wisealexander@example.org,Female,2002-07-16,20000,10,False,2023-07-13 04:28:02.417332,Standard
aaronlynch@example.net,Male,1988-07-04,57232,6,True,2023-10-12 04:28:02.417332,Budget
yjohnson@example.com,Male,1991-08-14,51791,7,True,2024-01-22 04:28:02.417332,Standard
sydney99@example.org,Female,1997-05-27,40345,31,False,2023-11-23 04:28:02.417332,Standard
melissahicks@example.org,Female,1996-02-26,29490,91,True,2025-03-21 04:28:02.417332,Standard
heathlatoya@example.net,Female,1982-08-08,43978,72,False,2024-06-12 04:28:02.417332,Standard
tiffanymarks@example.net,Female,1997-09-24,52082,3,True,2023-11-11 04:28:02.417332,Budget
qhughes@example.org,Male,1992-05-14,64988,47,True,2023-05-22 04:28:02.417332,Budget
smithmichael@example.org,Male,1964-01-24,57829,85,True,2023-09-15 04:28:02.417332,Budget
gonzalescody@example.net,Male,2007-09-02,79121,1,True,2024-11-25 04:28:02.417332,Standard
smithkelly@example.net,Female,2007-08-16,39465,45,True,2025-01-16 04:28:02.417332,Standard
huntangela@example.org,Female,1980-10-15,68215,54,False,2024-07-07 04:28:02.417332,Standard
sanchezlaura@example.org,Male,1999-04-02,55709,50,True,2024-11-07 04:28:02.417332,Standard
crossrachel@example.org,Male,1993-10-29,65420,79,False,2024-02-24 04:28:02.417332,Standard
cynthiafoster@example.net,Male,2000-06-28,48452,7,False,2023-11-20 04:28:02.417332,Standard
wallacemark@example.net,Male,1994-04-23,71075,63,False,2023-09-20 04:28:02.417332,Budget
scottjohnson@example.org,Female,1970-12-11,59428,15,True,2024-09-15 04:28:02.417332,Standard
mayernathan@example.net,Female,1981-03-11,44808,89,False,2023-08-28 04:28:02.417332,Budget
michaelduncan@example.com,Female,1980-03-25,54819,67,True,2023-11-16 04:28:02.417332,Budget
karen57@example.net,Male,2007-01-31,51406,30,True,2023-08-07 04:28:02.417332,Budget
rushsteven@example.org,Male,2004-05-03,62337,78,False,2024-02-24 04:28:02.417332,Standard
martha96@example.net,Female,2007-06-30,37303,68,True,2024-09-05 04:28:02.417332,Standard
uroberts@example.org,Female,2000-08-03,54559,36,False,2024-04-25 04:28:02.417332,Standard
whitemichelle@example.net,Female,1979-03-31,60929,67,False,2025-02-13 04:28:02.417332,Standard
mario36@example.com,Female,1983-11-22,55495,5,True,2023-10-09 04:28:02.417332,Budget
weberjohnny@example.net,Male,1992-10-13,75204,25,True,2024-10-08 04:28:02.417332,Standard
deborah02@example.com,Female,1990-12-10,66610,95,False,2023-11-08 04:28:02.417332,Budget
maddoxrobert@example.com,Male,1999-01-07,54887,11,True,2025-03-14 04:28:02.417332,Standard
crystal42@example.org,Male,1988-07-10,58250,72,False,2023-11-24 04:28:02.417332,Standard
michael88@example.com,Male,1980-11-16,59434,90,True,2024-04-12 04:28:02.417332,Standard
mrogers@example.com,Male,2007-01-05,61049,66,True,2023-09-21 04:28:02.417332,Budget
cmarshall@example.com,Female,1987-07-16,27615,28,True,2024-04-22 04:28:02.417332,Standard
eric84@example.org,Male,1978-12-20,50477,60,True,2025-02-01 04:28:02.417332,Standard
vramirez@example.com,Female,1995-09-01,32733,10,True,2023-05-15 04:28:02.417332,Standard
curtis13@example.com,Other,1982-09-22,74174,50,True,2024-08-16 04:28:02.417332,Standard
lstuart@example.com,Male,1957-07-31,54087,39,True,2024-11-06 04:28:02.417332,Standard
qwilliams@example.net,Male,1992-08-19,52099,37,False,2024-06-08 04:28:02.417332,Standard
maureengordon@example.net,Female,1985-10-15,68451,63,False,2024-05-04 04:28:02.417332,Standard
hensonjohn@example.net,Male,1999-02-12,61334,61,True,2024-05-05 04:28:02.417332,Standard
nroberts@example.com,Male,1988-08-25,38070,85,False,2024-01-25 04:28:02.417332,Standard
erangel@example.net,Male,1985-06-22,53936,92,False,2024-02-28 04:28:02.417332,
kristinburke@example.org,Male,1988-06-01,49972,38,True,2023-05-03 04:28:02.417332,Budget
esmith@example.org,Other,2003-09-28,28832,33,True,2024-05-02 04:28:02.417332,Standard
omcmahon@example.com,Female,1987-12-09,44645,75,True,2024-09-05 04:28:02.417332,Standard
kstephenson@example.org,Female,1973-06-22,52246,45,True,2024-02-16 04:28:02.417332,Standard
peggy26@example.com,Female,1985-03-10,53275,44,True,2023-08-24 04:28:02.417332,Budget
leonanthony@example.com,Female,1978-12-11,32766,1,True,2023-05-08 04:28:02.417332,Standard
leesteven@example.org,Male,1992-12-04,72274,53,True,2023-08-12 04:28:02.417332,Budget
ypace@example.org,Female,1982-08-05,53468,47,False,2024-07-05 04:28:02.417332,Standard
scampbell@example.net,Female,1987-09-08,55563,33,True,2024-10-04 04:28:02.417332,Standard
rodriguezmelissa@example.org,Female,2001-12-14,61009,67,False,2024-02-12 04:28:02.417332,Standard
tracy32@example.net,Female,1987-01-17,43178,90,False,2024-04-21 04:28:02.417332,Standard
simpsonbrian@example.net,Male,2001-12-12,61845,15,True,2023-10-31 04:28:02.417332,Budget
alejandrodecker@example.org,Male,1997-11-21,49493,14,False,2024-01-20 04:28:02.417332,Standard
hthomas@example.org,Male,1988-09-24,41551,23,True,2025-03-20 04:28:02.417332,Standard
carriewilliams@example.org,Male,1987-08-12,63601,54,False,2024-02-23 04:28:02.417332,Standard
michaelcollins@example.net,Female,2004-10-25,77375,8,True,2024-03-18 04:28:02.417332,Standard
nicole10@example.com,Female,1978-02-11,65872,54,True,2023-05-11 04:28:02.417332,Budget
tracy62@example.com,Male,1983-10-22,68844,36,False,2024-02-06 04:28:02.417332,Standard
alyssa62@example.com,Female,1999-01-31,47190,84,False,2024-10-04 04:28:02.417332,Standard
johnsonsherri@example.net,Male,2007-06-28,31035,52,True,2023-07-04 04:28:02.417332,Budget
alexa03@example.com,Male,1992-04-28,77352,6,False,2024-06-23 04:28:02.417332,Standard
cwillis@example.net,Male,1996-02-02,85817,97,False,2024-02-09 04:28:02.417332,Standard
kelsey41@example.com,Male,1988-11-16,78142,28,True,2024-04-11 04:28:02.417332,Standard
mayjohnathan@example.com,Other,1994-10-30,49963,50,True,2023-05-01 04:28:02.417332,Budget
michaelwiggins@example.org,Male,2007-09-30,37680,38,True,2025-03-17 04:28:02.417332,Budget
brownlaura@example.net,Female,1994-12-05,39014,30,True,2024-05-22 04:28:02.417332,Standard
joy46@example.net,Female,1994-01-19,29744,81,False,2023-10-17 04:28:02.417332,Budget
knguyen@example.net,Male,1982-11-13,53389,73,False,2025-03-17 04:28:02.417332,Standard
jeffreynash@example.net,Other,1999-08-22,79085,92,False,2023-12-24 04:28:02.417332,Standard
anita12@example.org,Other,1970-03-16,52875,54,False,2023-12-26 04:28:02.417332,
clifford36@example.com,Male,2007-02-02,59534,71,True,2023-10-05 04:28:02.417332,Budget
josephbray@example.org,Male,1975-03-23,75633,46,True,2023-05-09 04:28:02.417332,Budget
hhoffman@example.net,Male,1993-03-18,48938,28,False,2025-01-23 04:28:02.417332,Standard
cwade@example.net,Male,1980-09-13,85532,17,False,2024-02-16 04:28:02.417332,Standard
lisa66@example.net,Male,1990-06-12,84881,48,True,2025-02-09 04:28:02.417332,Standard
donna30@example.com,Female,1977-02-27,53033,44,True,2025-01-27 04:28:02.417332,Standard
johnsonamanda@example.com,Female,1994-10-12,46336,60,False,2023-12-22 04:28:02.417332,Standard
sgonzalez@example.com,Male,2004-03-13,65458,60,True,2024-07-04 04:28:02.417332,Standard
herbertbullock@example.net,Male,1973-02-07,49787,5,True,2024-01-19 04:28:02.417332,Standard
fryan@example.net,Other,1992-08-19,37651,69,False,2023-10-20 04:28:02.417332,Budget
weberbradley@example.net,Male,1988-01-29,74218,78,False,2023-04-03 04:28:02.417332,Standard
roy90@example.com,Male,1976-07-25,73246,70,False,2024-07-03 04:28:02.417332,Standard
jessicahendricks@example.net,Male,2003-01-21,57332,7,False,2023-12-30 04:28:02.417332,Standard
william97@example.org,Other,1983-06-12,36057,53,True,2024-10-11 04:28:02.417332,Standard
martinleslie@example.net,Male,1998-09-01,36557,17,False,2023-09-12 04:28:02.417332,Budget
rebecca62@example.org,Female,1991-11-30,56608,59,True,2023-10-29 04:28:02.417332,Budget
nancycohen@example.org,Female,1990-05-18,47501,9,False,2023-11-22 04:28:02.417332,Standard
nathan00@example.com,Male,2007-03-21,49883,95,True,2023-10-16 04:28:02.417332,Budget
alexandrahall@example.org,Female,2000-01-19,70329,22,False,2025-01-20 04:28:02.417332,Standard
emcgee@example.net,Male,1974-07-20,65997,45,False,2024-10-12 04:28:02.417332,Standard
nmorrow@example.org,Female,1980-04-01,75672,73,True,2023-07-07 04:28:02.417332,Standard
collinspatricia@example.org,Female,1991-09-16,40140,59,False,2023-08-08 04:28:02.417332,
johnsondaniel@example.com,Female,1988-09-14,49852,80,True,2024-06-14 04:28:02.417332,Standard
schmittjeffrey@example.net,Male,1994-07-24,66384,100,True,2024-07-24 04:28:02.417332,Standard
lhowell@example.net,Female,1974-05-31,61721,98,True,2024-02-18 04:28:02.417332,Standard
thomas87@example.org,Male,1993-04-23,77985,13,False,2024-03-31 04:28:02.417332,Standard
bbrown@example.com,Male,1988-06-20,61308,83,False,2024-07-20 04:28:02.417332,Standard
juliegonzalez@example.net,Male,1977-07-13,82721,12,True,2023-10-25 04:28:02.417332,Budget
jenniferbrewer@example.org,Female,2000-08-29,63100,36,True,2024-01-18 04:28:02.417332,Standard
taylormanuel@example.com,Female,1971-12-07,70932,10,False,2024-05-02 04:28:02.417332,Standard
rlopez@example.org,Male,2007-08-14,50147,16,True,2023-07-12 04:28:02.417332,Budget
andrew38@example.net,Female,1971-08-14,55214,92,False,2024-01-23 04:28:02.417332,Standard
davidcobb@example.net,Male,1995-07-27,68664,19,False,2023-05-13 04:28:02.417332,Budget
kyle98@example.com,Female,1993-06-01,79194,6,False,2023-12-28 04:28:02.417332,Standard
nicholas99@example.org,Male,2006-12-01,65938,4,True,2024-05-29 04:28:02.417332,Standard
timothymeadows@example.org,Female,1996-08-05,53752,30,True,2023-05-30 04:28:02.417332,Budget
johnmendoza@example.org,Male,2002-12-04,75660,95,False,2024-12-28 04:28:02.417332,Premium
natasha91@example.net,Other,1998-04-10,22120,46,True,2024-02-18 04:28:02.417332,Standard
mikesantos@example.net,Male,1992-09-09,33666,27,True,2024-10-16 04:28:02.417332,Standard
joseph21@example.net,Male,1979-02-13,65224,45,True,2025-01-05 04:28:02.417332,Standard
ronald32@example.net,Male,1988-02-19,55211,85,False,2025-03-30 04:28:02.417332,Standard
ythompson@example.org,Other,1987-05-09,64082,37,False,2024-03-26 04:28:02.417332,Standard
newtonjean@example.com,Female,2003-11-06,55966,9,True,2023-10-22 04:28:02.417332,Budget
owatkins@example.net,Male,2001-09-28,63564,61,False,2023-06-30 04:28:02.417332,Budget
pcannon@example.net,Female,1969-08-09,42783,35,True,2025-03-10 04:28:02.417332,Standard
jeanette24@example.org,Female,1999-06-05,63557,47,False,2024-12-25 04:28:02.417332,Standard
brooke23@example.org,Female,1971-09-07,69916,21,True,2023-06-02 04:28:02.417332,Budget
charlesramos@example.net,Female,1993-02-11,73308,17,False,2023-10-28 04:28:02.417332,Budget
debbieallen@example.org,Male,1990-07-27,85203,55,False,2024-05-16 04:28:02.417332,Standard
elizabethpatrick@example.net,Male,1978-09-11,58661,88,True,2023-10-16 04:28:02.417332,Budget
wallaceheather@example.com,Female,1975-02-27,59108,95,False,2024-03-31 04:28:02.417332,
frankpowers@example.org,Other,1991-12-09,32152,6,True,2024-09-30 04:28:02.417332,Standard
hellison@example.net,Female,1994-10-25,47028,35,False,2024-02-10 04:28:02.417332,Standard
krodriguez@example.net,Male,1990-12-27,52103,50,False,2023-04-04 04:28:02.417332,Budget
wrightbonnie@example.net,Male,1986-10-04,70754,37,False,2024-08-31 04:28:02.417332,Standard
idixon@example.com,Female,1980-08-06,45834,13,True,2023-06-02 04:28:02.417332,Budget
george56@example.org,Female,1990-02-15,66945,25,False,2024-09-04 04:28:02.417332,Standard
barbara88@example.com,Female,1983-06-17,54975,96,True,2024-11-20 04:28:02.417332,Standard
amykelley@example.com,Female,1970-11-28,52342,1,False,2025-02-08 04:28:02.417332,Standard
mhenderson@example.net,Female,1986-02-05,58733,49,False,2023-05-08 04:28:02.417332,
justin13@example.org,Male,1986-10-25,49132,35,False,2025-03-10 04:28:02.417332,Standard
richardsscott@example.org,Male,2007-09-17,48564,83,False,2024-12-17 04:28:02.417332,Standard
mackenzie00@example.com,Female,2006-12-01,29428,53,True,2023-08-08 04:28:02.417332,Budget
cbartlett@example.org,Female,1986-09-02,51280,52,False,2023-07-11 04:28:02.417332,Budget
kimberlygross@example.org,Male,1991-10-29,47800,54,True,2023-12-29 04:28:02.417332,Standard
colezachary@example.net,Male,1997-03-01,47260,76,True,2023-06-22 04:28:02.417332,Budget
angelawatson@example.org,Female,1988-05-24,61253,47,False,2023-12-07 04:28:02.417332,Standard
john65@example.net,Male,1991-02-04,64879,43,True,2024-12-03 04:28:02.417332,Standard
tgutierrez@example.com,Male,1977-09-03,58482,20,True,2023-05-30 04:28:02.417332,Budget
jessicachandler@example.net,Female,1989-01-30,69931,33,True,2024-09-06 04:28:02.417332,Standard
mthomas@example.net,Female,1999-08-14,63633,93,True,2024-05-19 04:28:02.417332,Standard
bethwalters@example.com,Female,1978-10-30,50574,16,True,2024-04-29 04:28:02.417332,Standard
xnewton@example.org,Male,1992-12-02,48057,78,True,2024-10-29 04:28:02.417332,Standard
robertpugh@example.com,Female,1984-03-20,59692,7,False,2024-10-29 04:28:02.417332,Standard
simpsonemma@example.org,Male,1996-08-18,63606,70,False,2024-03-04 04:28:02.417332,Standard
prestonjay@example.net,Male,1998-06-06,75967,21,False,2023-11-14 04:28:02.417332,Budget
danielhowell@example.net,Female,1988-11-16,72867,36,True,2024-05-24 04:28:02.417332,Standard
julielozano@example.com,Female,1990-09-22,46877,86,False,2024-07-17 04:28:02.417332,Standard
james02@example.com,Female,1985-01-13,53469,54,True,2024-10-27 04:28:02.417332,Standard
xwoods@example.net,Female,1994-02-13,65065,19,True,2025-03-19 04:28:02.417332,Standard
traceykim@example.com,Female,2007-06-05,71019,25,False,2025-01-15 04:28:02.417332,Standard
kellyshannon@example.com,Male,1996-05-20,69084,67,True,2024-04-28 04:28:02.417332,Standard
cherylthomas@example.net,Male,1981-07-15,54041,100,False,2024-02-18 04:28:02.417332,Standard
jason31@example.com,Male,1994-05-30,36189,53,False,2024-03-04 04:28:02.417332,Standard
hansenheidi@example.com,Male,1993-01-28,40015,98,True,2024-08-25 04:28:02.417332,Standard
roberthill@example.com,Other,1978-10-26,59089,75,True,2024-01-25 04:28:02.417332,Standard
tanyakelley@example.org,Male,1999-01-04,60133,48,True,2024-01-03 04:28:02.417332,Standard
blevinscaleb@example.com,Female,2006-10-09,38519,42,True,2023-06-18 04:28:02.417332,Budget
wrighterika@example.com,Female,1991-12-11,55668,47,False,2024-11-13 04:28:02.417332,Standard
ftran@example.org,Female,1996-08-20,64468,91,False,2023-11-21 04:28:02.417332,Standard
stevenchen@example.com,Female,2002-07-18,37731,42,True,2023-06-18 04:28:02.417332,Budget
tuckerjimmy@example.org,Female,1992-12-13,71574,2,True,2023-07-01 04:28:02.417332,Budget
pdavidson@example.com,Male,1984-11-01,49337,6,False,2023-10-20 04:28:02.417332,Budget
ashleydixon@example.net,Male,1991-03-03,73864,46,True,2023-05-27 04:28:02.417332,Budget
toddking@example.com,Female,1987-06-20,46998,66,True,2024-12-27 04:28:02.417332,Standard
pmonroe@example.com,Male,1969-02-28,39600,81,True,2025-03-05 04:28:02.417332,Standard
rodriguezrobert@example.org,Male,1995-01-05,48127,40,False,2024-08-15 04:28:02.417332,Standard
tylerrebecca@example.org,Female,1987-01-26,53572,58,True,2024-02-11 04:28:02.417332,Standard
ryanthomas@example.net,Male,1997-08-28,49172,78,True,2024-01-02 04:28:02.417332,Standard
nicholasbenjamin@example.net,Other,2001-05-23,51759,74,False,2025-03-08 04:28:02.417332,Standard
mark68@example.com,Other,1997-12-15,60009,33,False,2023-05-16 04:28:02.417332,Budget
oconnordanielle@example.com,Other,1996-06-30,52432,62,True,2024-02-23 04:28:02.417332,Standard
brandon14@example.com,Male,1986-09-05,54008,12,True,2023-05-30 04:28:02.417332,Budget
edwardrosales@example.org,Male,1962-08-08,29361,96,True,2023-10-08 04:28:02.417332,Budget
xcurry@example.com,Other,1999-03-29,60875,49,True,2024-10-19 04:28:02.417332,Standard
vtran@example.net,Male,1995-03-22,53661,88,True,2024-09-06 04:28:02.417332,Standard
shannon10@example.net,Other,1991-08-21,79154,78,True,2023-07-28 04:28:02.417332,Standard
jason78@example.net,Other,1986-01-23,40906,5,True,2024-03-25 04:28:02.417332,Standard
turnerlaura@example.org,Female,1987-03-10,27875,51,True,2023-07-24 04:28:02.417332,Budget
william28@example.com,Male,1975-05-03,64271,69,False,2025-01-23 04:28:02.417332,Standard
breid@example.com,Male,2007-06-13,60197,32,True,2023-10-30 04:28:02.417332,Budget
sobrien@example.org,Female,2007-05-20,39873,49,True,2023-07-07 04:28:02.417332,Budget
kristienelson@example.com,Male,1995-11-24,32053,97,True,2024-04-14 04:28:02.417332,Standard
ujohnson@example.org,Male,1977-09-29,78060,60,True,2024-12-22 04:28:02.417332,Standard
amy23@example.org,Female,2006-10-10,76211,46,False,2025-04-01 04:28:02.417332,Standard
schwartzjanice@example.net,Other,2007-02-08,20000,68,True,2024-04-16 04:28:02.417332,Standard
bryantmichael@example.com,Female,1983-12-30,48126,94,False,2025-03-26 04:28:02.417332,Standard
marcbyrd@example.net,Female,1988-04-15,79962,41,True,2024-05-19 04:28:02.417332,Standard
herbert33@example.com,Male,2004-02-22,47859,81,False,2023-07-19 04:28:02.417332,Budget
carrollbrandon@example.com,Female,2002-07-22,47640,67,True,2023-11-10 04:28:02.417332,Budget
porterrobert@example.net,Other,2002-05-23,50758,13,True,2024-09-28 04:28:02.417332,Standard
smithcharles@example.org,Male,1989-07-18,38186,100,True,2023-04-05 04:28:02.417332,Budget
lpark@example.org,Female,1998-07-15,29428,18,True,2023-12-27 04:28:02.417332,Standard
badams@example.net,Female,1985-05-20,70788,87,True,2024-04-24 04:28:02.417332,Premium
danieldavis@example.org,Female,2007-03-09,27355,99,True,2023-07-07 04:28:02.417332,Budget
james59@example.com,Female,2001-03-04,58709,97,False,2023-04-20 04:28:02.417332,Budget
thomassoto@example.com,Female,2003-11-29,68298,51,True,2025-03-25 04:28:02.417332,Standard
jgarrison@example.net,Male,1994-01-25,33231,36,True,2023-09-04 04:28:02.417332,Budget
lturner@example.org,Male,1997-04-01,41135,81,True,2024-11-17 04:28:02.417332,Standard
jacquelinesmith@example.net,Female,1981-02-05,73197,34,False,2024-03-15 04:28:02.417332,Standard
scottcooper@example.org,Female,2007-01-22,62993,12,True,2024-09-28 04:28:02.417332,Standard
sandrajimenez@example.net,Female,1989-11-19,45740,5,True,2023-07-03 04:28:02.417332,Budget
santanamichelle@example.net,Other,1984-04-30,73033,48,True,2024-03-26 04:28:02.417332,Standard
tsoto@example.org,Female,1967-11-03,73098,91,False,2023-09-19 04:28:02.417332,Standard
kelly39@example.net,Female,1996-04-22,59035,40,False,2024-10-18 04:28:02.417332,Standard
idavis@example.com,Female,1987-07-23,41497,13,True,2023-07-03 04:28:02.417332,
emilygrant@example.org,Female,2007-04-12,48798,26,True,2024-05-16 04:28:02.417332,Standard
watsonrebecca@example.net,Female,2007-09-14,59295,14,True,2023-05-14 04:28:02.417332,Budget
harperjulian@example.net,Female,1980-07-06,52171,96,True,2023-04-18 04:28:02.417332,Budget
katrina83@example.com,Female,1991-04-11,69084,11,True,2024-10-27 04:28:02.417332,Standard
taylorsullivan@example.com,Male,1976-07-08,32053,38,True,2024-06-21 04:28:02.417332,Standard
arthur13@example.org,Male,2007-07-25,32586,80,True,2025-03-05 04:28:02.417332,Standard
tasha86@example.org,Male,1984-04-02,57713,57,True,2024-04-16 04:28:02.417332,Standard
smithjames@example.net,Female,1968-06-03,47626,22,True,2025-01-09 04:28:02.417332,Standard
edwardbaker@example.org,Male,1985-05-23,45594,16,True,2023-07-18 04:28:02.417332,Budget
richardlambert@example.net,Male,1987-01-07,28479,77,True,2023-06-06 04:28:02.417332,Budget
jill41@example.com,Female,1990-06-28,55293,76,True,2024-03-28 04:28:02.417332,Standard
james30@example.com,Male,2006-12-25,54208,82,False,2023-10-09 04:28:02.417332,Budget
wreilly@example.net,Female,1974-09-13,64802,29,False,2024-03-03 04:28:02.417332,Standard
bcurry@example.net,Male,1998-09-18,56033,82,True,2023-12-09 04:28:02.417332,Standard
nmckinney@example.com,Male,1984-02-08,53010,2,True,2024-09-01 04:28:02.417332,Standard
elucas@example.com,Female,2007-04-12,72655,54,True,2023-07-28 04:28:02.417332,Budget
cynthiascott@example.com,Male,2005-07-07,35312,2,True,2024-04-07 04:28:02.417332,Standard
martinezdonald@example.org,Male,1973-09-22,63045,3,False,2024-08-31 04:28:02.417332,Standard
tsimmons@example.org,Female,1994-11-15,29932,93,True,2024-06-02 04:28:02.417332,Standard
gcastillo@example.com,Female,1972-10-21,42424,56,False,2024-10-29 04:28:02.417332,Standard
